country,country_code,year_week,new_cases,tests_done,population,testing_rate,positivity_rate,testing_data_source
Austria,AT,2020-W15,1954,12339,8858775,139.2856236,15.83596726,Manual webscraping
Austria,AT,2020-W16,773,58488,8858775,660.2267243,1.321638627,Manual webscraping
Austria,AT,2020-W17,479,33443,8858775,377.5126922,1.432287773,Manual webscraping
Austria,AT,2020-W18,349,26598,8858775,300.2446727,1.312128731,Country website
Austria,AT,2020-W19,249,42153,8858775,475.8332839,0.590705288,Country website
Austria,AT,2020-W20,367,46001,8858775,519.2704409,0.797808743,Country website
Austria,AT,2020-W21,285,39348,8858775,444.1697639,0.724306191,Country website
Austria,AT,2020-W22,203,46677,8858775,526.9012928,0.4349037,Country website
Austria,AT,2020-W23,226,41063,8858775,463.5290997,0.550373816,Country website
Austria,AT,2020-W24,170,35243,8858775,397.8315286,0.482365292,Country website
Austria,AT,2020-W25,247,15775,8858775,178.0720246,1.565768621,Country website
Austria,AT,2020-W26,340,61905,8858775,698.7986488,0.549228657,Country website
Austria,AT,2020-W27,644,45284,8858775,511.1767711,1.422135854,Country website
Austria,AT,2020-W28,578,48936,8858775,552.4014325,1.181134543,Country website
Austria,AT,2020-W29,724,51929,8858775,586.1871421,1.394211327,Country website
Austria,AT,2020-W30,915,99229,8858775,1120.12101,0.922109464,Country website
Austria,AT,2020-W31,823,57416,8858775,648.1257284,1.433398356,Country website
Austria,AT,2020-W32,702,56554,8858775,638.3952635,1.241291509,Country website
Austria,AT,2020-W33,1362,56622,8858775,639.1628639,2.405425453,Country website
Austria,AT,2020-W34,1866,76497,8858775,863.5166826,2.439311346,Country website
Austria,AT,2020-W35,1979,77105,8858775,870.379934,2.56662992,Country website
Austria,AT,2020-W36,1976,83733,8858775,945.198405,2.359882006,Country website
Austria,AT,2020-W37,4141,86241,8858775,973.509317,4.801660463,Country website
Austria,AT,2020-W38,5222,102617,8858775,1158.365575,5.088825438,Country website
Austria,AT,2020-W39,4909,110816,8858775,1250.917875,4.429865723,Country website
Austria,AT,2020-W40,5152,130874,8858775,1477.337442,3.936610786,Country website
Austria,AT,2020-W41,7365,124663,8858775,1407.226168,5.907927773,TESSy
Austria,AT,2020-W42,9574,129647,8858775,1463.486769,7.384667597,TESSy
Austria,AT,2020-W43,16979,158997,8858775,1794.796685,10.67881784,TESSy
Austria,AT,2020-W44,28574,167926,8858775,1895.589401,17.0158284,TESSy
Austria,AT,2020-W45,41398,199567,8858775,2252.760681,20.74391057,TESSy
Austria,AT,2020-W46,50986,215044,8858775,2427.468809,23.70956641,TESSy
Austria,AT,2020-W47,42630,207745,8858775,2345.075928,20.52034947,TESSy
Austria,AT,2020-W48,32058,196461,8858775,2217.6994,16.31774245,TESSy
Austria,AT,2020-W49,22794,163770,8858775,1848.675466,13.91830005,TESSy
Austria,AT,2020-W50,19060,162984,8858775,1839.802907,11.69439945,TESSy
Austria,AT,2020-W51,16186,185766,8858775,2096.971647,8.713112195,TESSy
Belgium,BE,2020-W09,18,82,11455519,0.715812178,21.95121951,Country website
Belgium,BE,2020-W10,388,4406,11455519,38.46181042,8.8061734,Country website
Belgium,BE,2020-W11,1348,9924,11455519,86.63073231,13.58323257,Country website
Belgium,BE,2020-W12,3673,17066,11455519,148.9762271,21.52232509,Country website
Belgium,BE,2020-W13,8130,27141,11455519,236.9251013,29.95468111,Country website
Belgium,BE,2020-W14,9694,38426,11455519,335.4365699,25.2277104,Country website
Belgium,BE,2020-W15,11175,53517,11455519,467.1721988,20.88121531,Country website
Belgium,BE,2020-W16,7963,65399,11455519,570.8951292,12.17602716,Country website
Belgium,BE,2020-W17,5703,105901,11455519,924.4539684,5.38521827,Country website
Belgium,BE,2020-W18,3095,138836,11455519,1211.957311,2.229248898,Country website
Belgium,BE,2020-W19,3051,146708,11455519,1280.67528,2.079641192,Country website
Belgium,BE,2020-W20,2071,120385,11455519,1050.890841,1.720313993,Country website
Belgium,BE,2020-W21,1510,85575,11455519,747.0198426,1.764534034,Country website
Belgium,BE,2020-W22,1144,87209,11455519,761.2837096,1.311791214,TESSy
Belgium,BE,2020-W23,847,75991,11455519,663.357112,1.114605677,TESSy
Belgium,BE,2020-W24,671,86874,11455519,758.359355,0.772382991,TESSy
Belgium,BE,2020-W25,668,88901,11455519,776.0538828,0.751397622,TESSy
Belgium,BE,2020-W26,607,93868,11455519,819.4128961,0.646652746,TESSy
Belgium,BE,2020-W27,637,85012,11455519,742.1051809,0.74930598,TESSy
Belgium,BE,2020-W28,704,77973,11455519,680.6588161,0.902876637,TESSy
Belgium,BE,2020-W29,1385,86865,11455519,758.2807902,1.594428136,TESSy
Belgium,BE,2020-W30,2489,99622,11455519,869.6419604,2.498444119,TESSy
Belgium,BE,2020-W31,3759,145338,11455519,1268.715979,2.586384841,TESSy
Belgium,BE,2020-W32,4340,141302,11455519,1233.484053,3.071435648,TESSy
Belgium,BE,2020-W33,3751,127215,11455519,1110.512758,2.948551665,TESSy
Belgium,BE,2020-W34,3453,137022,11455519,1196.122149,2.520033279,TESSy
Belgium,BE,2020-W35,3121,145319,11455519,1268.55012,2.147688878,TESSy
Belgium,BE,2020-W36,3655,159252,11455519,1390.177084,2.295104614,TESSy
Belgium,BE,2020-W37,6158,213854,11455519,1866.8207,2.879534636,TESSy
Belgium,BE,2020-W38,10108,251200,11455519,2192.8295,4.02388535,TESSy
Belgium,BE,2020-W39,11274,256649,11455519,2240.396092,4.392769892,TESSy
Belgium,BE,2020-W40,18884,259282,11455519,2263.380646,7.283189732,TESSy
Belgium,BE,2020-W41,38829,309615,11455519,2702.758382,12.54105906,TESSy
Belgium,BE,2020-W42,72194,418514,11455519,3653.383142,17.25008005,TESSy
Belgium,BE,2020-W43,105328,467245,11455519,4078.776352,22.5423493,TESSy
Belgium,BE,2020-W44,99543,416371,11455519,3634.676002,23.90728461,TESSy
Belgium,BE,2020-W45,53991,259533,11455519,2265.57173,20.80313486,TESSy
Belgium,BE,2020-W46,33960,199492,11455519,1741.448816,17.02323903,TESSy
Belgium,BE,2020-W47,22304,200270,11455519,1748.240302,11.1369651,TESSy
Belgium,BE,2020-W48,16207,204630,11455519,1786.30056,7.920148561,TESSy
Belgium,BE,2020-W49,15251,209481,11455519,1828.64696,7.280373876,TESSy
Belgium,BE,2020-W50,16721,234151,11455519,2044.001673,7.141118338,TESSy
Belgium,BE,2020-W51,17567,270442,11455519,2360.800938,6.495662656,TESSy
